label,value
"Fri Jun 18 12:30:12 -0400 2010","1"
"Fri Jun 18 12:53:47 -0400 2010","1"
"Fri Jun 18 12:16:03 -0400 2010","1"
"Fri Jun 18 12:11:20 -0400 2010","1"
"Fri Jun 18 12:53:48 -0400 2010","1"
"Fri Jun 18 12:49:05 -0400 2010","1"
"Fri Jun 18 13:12:41 -0400 2010","1"
"Fri Jun 18 12:39:40 -0400 2010","1"
"Fri Jun 18 13:17:25 -0400 2010","1"
"Fri Jun 18 12:11:23 -0400 2010","1"
"Fri Jun 18 12:39:41 -0400 2010","1"
"Fri Jun 18 13:36:17 -0400 2010","1"
"Fri Jun 18 13:36:19 -0400 2010","1"
"Fri Jun 18 13:22:11 -0400 2010","1"
"Fri Jun 18 13:03:19 -0400 2010","1"
"Fri Jun 18 12:53:54 -0400 2010","1"
"Fri Jun 18 12:06:44 -0400 2010","1"
"Fri Jun 18 12:30:20 -0400 2010","1"
"Fri Jun 18 12:53:55 -0400 2010","1"
"Fri Jun 18 13:08:04 -0400 2010","2"
"Fri Jun 18 12:35:03 -0400 2010","1"
"Fri Jun 18 13:31:39 -0400 2010","1"
"Fri Jun 18 13:26:57 -0400 2010","1"
"Fri Jun 18 13:17:31 -0400 2010","4"
"Fri Jun 18 12:11:29 -0400 2010","1"
"Fri Jun 18 12:53:57 -0400 2010","1"
"Fri Jun 18 11:52:38 -0400 2010","1"
"Fri Jun 18 12:20:57 -0400 2010","1"
"Fri Jun 18 13:41:08 -0400 2010","1"
"Fri Jun 18 12:58:42 -0400 2010","1"
"Fri Jun 18 12:58:43 -0400 2010","1"
"Fri Jun 18 12:54:00 -0400 2010","1"
"Fri Jun 18 12:20:59 -0400 2010","1"
"Fri Jun 18 13:36:27 -0400 2010","1"
"Fri Jun 18 13:17:36 -0400 2010","1"
"Fri Jun 18 13:31:45 -0400 2010","1"
"Fri Jun 18 11:57:26 -0400 2010","1"
"Fri Jun 18 13:17:37 -0400 2010","1"
"Fri Jun 18 13:41:12 -0400 2010","1"
"Fri Jun 18 12:30:28 -0400 2010","1"
"Fri Jun 18 12:21:02 -0400 2010","1"
"Fri Jun 18 12:44:37 -0400 2010","2"
"Fri Jun 18 13:12:55 -0400 2010","1"
"Fri Jun 18 13:31:48 -0400 2010","2"
"Fri Jun 18 12:54:05 -0400 2010","1"
"Fri Jun 18 13:22:23 -0400 2010","1"
"Fri Jun 18 11:52:46 -0400 2010","2"
"Fri Jun 18 13:36:32 -0400 2010","1"
"Fri Jun 18 13:03:31 -0400 2010","1"
"Fri Jun 18 12:49:23 -0400 2010","1"
"Fri Jun 18 13:12:58 -0400 2010","1"
"Fri Jun 18 13:31:50 -0400 2010","1"
"Fri Jun 18 12:49:24 -0400 2010","1"
"Fri Jun 18 12:16:23 -0400 2010","1"
"Fri Jun 18 13:36:34 -0400 2010","1"
"Fri Jun 18 12:35:16 -0400 2010","1"
"Fri Jun 18 13:31:55 -0400 2010","1"
"Fri Jun 18 12:11:45 -0400 2010","1"
"Fri Jun 18 12:58:55 -0400 2010","1"
"Fri Jun 18 12:49:30 -0400 2010","1"
"Fri Jun 18 12:16:29 -0400 2010","2"
"Fri Jun 18 12:35:21 -0400 2010","1"
"Fri Jun 18 11:57:37 -0400 2010","2"
"Fri Jun 18 12:44:48 -0400 2010","2"
"Fri Jun 18 13:36:41 -0400 2010","1"
"Fri Jun 18 12:25:57 -0400 2010","1"
"Fri Jun 18 12:21:14 -0400 2010","1"
"Fri Jun 18 12:21:15 -0400 2010","1"
"Fri Jun 18 12:54:17 -0400 2010","1"
"Fri Jun 18 12:40:08 -0400 2010","1"
"Fri Jun 18 13:32:01 -0400 2010","1"
"Fri Jun 18 12:59:00 -0400 2010","1"
"Fri Jun 18 11:57:41 -0400 2010","1"
"Fri Jun 18 11:52:59 -0400 2010","1"
"Fri Jun 18 12:21:17 -0400 2010","1"
"Fri Jun 18 12:40:09 -0400 2010","1"
"Fri Jun 18 12:07:08 -0400 2010","1"
"Fri Jun 18 13:03:44 -0400 2010","1"
"Fri Jun 18 12:59:01 -0400 2010","1"
"Fri Jun 18 13:41:29 -0400 2010","1"
"Fri Jun 18 11:48:17 -0400 2010","2"
"Fri Jun 18 13:13:11 -0400 2010","1"
"Fri Jun 18 11:57:43 -0400 2010","1"
"Fri Jun 18 11:48:18 -0400 2010","1"
"Fri Jun 18 11:48:19 -0400 2010","1"
"Fri Jun 18 12:44:55 -0400 2010","1"
"Fri Jun 18 13:27:22 -0400 2010","1"
"Fri Jun 18 12:54:22 -0400 2010","1"
"Fri Jun 18 11:48:20 -0400 2010","1"
"Fri Jun 18 12:30:47 -0400 2010","1"
"Fri Jun 18 13:32:07 -0400 2010","1"
"Fri Jun 18 13:17:59 -0400 2010","1"
"Fri Jun 18 12:49:41 -0400 2010","1"
"Fri Jun 18 12:07:14 -0400 2010","1"
"Fri Jun 18 13:32:08 -0400 2010","1"
"Fri Jun 18 12:21:24 -0400 2010","1"
"Fri Jun 18 12:49:42 -0400 2010","2"
"Fri Jun 18 13:18:00 -0400 2010","1"
"Fri Jun 18 12:49:43 -0400 2010","1"
"Fri Jun 18 13:36:53 -0400 2010","1"
"Fri Jun 18 12:49:44 -0400 2010","1"
"Fri Jun 18 12:16:43 -0400 2010","1"
"Fri Jun 18 13:08:36 -0400 2010","1"
"Fri Jun 18 13:27:28 -0400 2010","1"
"Fri Jun 18 12:49:45 -0400 2010","1"
"Fri Jun 18 13:41:38 -0400 2010","1"
"Fri Jun 18 12:40:19 -0400 2010","2"
"Fri Jun 18 13:36:55 -0400 2010","1"
"Fri Jun 18 13:03:54 -0400 2010","1"
"Fri Jun 18 12:45:03 -0400 2010","1"
"Fri Jun 18 13:27:30 -0400 2010","1"
"Fri Jun 18 12:26:11 -0400 2010","1"
"Fri Jun 18 12:49:47 -0400 2010","2"
"Fri Jun 18 13:03:56 -0400 2010","1"
"Fri Jun 18 12:45:05 -0400 2010","1"
